2017-07-07 22:40:16 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:40:28 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:40:41 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:40:53 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:41:05 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:41:19 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:41:31 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:41:44 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:41:56 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:42:08 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:42:25 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:42:37 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:42:50 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:43:02 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:43:13 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:43:28 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:43:40 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:43:52 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:44:05 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:44:17 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:44:33 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:44:46 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:44:58 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:45:10 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:45:21 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:45:35 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:45:48 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:46:00 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:46:12 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:46:25 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:46:41 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:46:53 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:47:06 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:47:18 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:47:30 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
2017-07-07 22:47:44 | GET_CUR_LOCATION | SUCCESSFULL, timeout 10
